账号,昵称,短剧名,集数,累计观看,单集均观看,主页链接
shortdramatime,ShortDramaTime,When Clouds Clear Love's Moon Appears,3,570,190,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,The Caged Bird Strikes,3,474,158,https://www.tiktok.com/@shortdramatime
fz8fjg1,The Long Silence_Trending_B,The Secret of the Perfect Father in Law,10,4568,457,https://www.tiktok.com/@fz8fjg1
fz8fjg1,The Long Silence_Trending_B,I Turned My Lover Into Stone,10,10423,1042,https://www.tiktok.com/@fz8fjg1
fz8fjg1,The Long Silence_Trending_B,The Karma Countdown,20,29875,1494,https://www.tiktok.com/@fz8fjg1
fz8fjg1,The Long Silence_Trending_B,Seven Days in Black Stone,24,1212831,50535,https://www.tiktok.com/@fz8fjg1
fz8fjg1,The Long Silence_Trending_B,Gorgon Blood: A Small Town Apocalypse,23,21509,935,https://www.tiktok.com/@fz8fjg1
fz8fjg1,The Long Silence_Trending_B,Patient Zero,13,7921,609,https://www.tiktok.com/@fz8fjg1
sangaaxdiln,Premium Episode.Drama.J,貪り食う継承者,20,4409,220,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,The Architect Above Code,10,6459,646,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,BORN TO REIGN,10,20189,2019,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,Devil's Ledger,10,334297,33430,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,The Producer's Revenge,10,1991038,199104,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,Detective Vet_ Hear Me Meow,10,79943,7994,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,The Last Bid,10,59450,5945,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,The Last Virgin on Earth,17,1303502,76677,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,Natural Disaster. Chosen Hero,3,5323,1774,https://www.tiktok.com/@sangaaxdiln
drama.pro28,The Lore Master,Styx Whiskers: Cats Who Sail the River of Souls,20,73745,3687,https://www.tiktok.com/@drama.pro28
drama.pro28,The Lore Master,Nine Lives Nine Black Belts,20,24309,1215,https://www.tiktok.com/@drama.pro28
drama.pro28,The Lore Master,The Zombie Queen Fell in Love With a Living Man,20,43165,2158,https://www.tiktok.com/@drama.pro28
drama.pro28,The Lore Master,OLYMPUS ZERO: The Gods Are Already Dead,20,129976,6499,https://www.tiktok.com/@drama.pro28
drama.pro28,The Lore Master,I Wake Up With a New Superpower Daily,20,9928,496,https://www.tiktok.com/@drama.pro28
duniadrama43,DuniaDrama,Throne Beneath Power and Lies(More in Drama⬇️),39,9348,240,https://www.tiktok.com/@duniadrama43
duniadrama43,DuniaDrama,Black Gold Rose: The Heir’s Forbidden Song(More in Drama⬇️),39,6230,160,https://www.tiktok.com/@duniadrama43
duniadrama43,DuniaDrama,Soft Cage: She Closed the Door(More in Drama⬇️),8,1500,188,https://www.tiktok.com/@duniadrama43
duniadrama43,DuniaDrama,"Harbour Secrets, Crown Cracks(More in Drama⬇️)",7,1105,158,https://www.tiktok.com/@duniadrama43
duniadrama43,DuniaDrama,Cold CEO: Sweet Fake Love(More in Drama⬇️),7,1427,204,https://www.tiktok.com/@duniadrama43
lovebiteshorts,LoveBite Shorts,Shadow Heiress: Hidden Truth(More in Drama⬇️),15,48,3,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Love Beyond Deal(More in Drama⬇️),1,7,7,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Silent Turmoil Eternal Bond(More in Drama⬇️),15,291,19,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Noble Fall Forbidden Warmth(More in Drama⬇️),15,305,20,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Glass Estate Palpitation of Love(More in Drama⬇️),15,187,12,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Rose Reborn Golden Vengeance(More in Drama⬇️),14,207,15,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Billionaire’s Pretense: Real Love(More in Drama⬇️),15,463,31,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Gilded Gambit House of Plots(More in Drama⬇️),7,77,11,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Starlight to Old Years(More in Drama⬇️),3,5,2,https://www.tiktok.com/@lovebiteshorts
dramavault40,物語の空,Throne Beneath Power and Lies(More in Drama⬇️),39,11816,303,https://www.tiktok.com/@dramavault40
dramavault40,物語の空,Black Gold Rose: The Heir’s Forbidden Song(More in Drama⬇️),39,10538,270,https://www.tiktok.com/@dramavault40
dramavault40,物語の空,Soft Cage: She Closed the Door(More in Drama⬇️),22,6589,300,https://www.tiktok.com/@dramavault40
