Account / 账号,Nickname / 昵称,Screenshot Name / 截图名称,Rank in Account / 账号内排序,Drama ID / 短剧ID,English Title / 英文剧名,Chinese Title / 中文剧名,Publish Time / 发布时间,Episodes / 集数,Views / 观看数,Duration Seconds / 总时长(秒),Duration Minutes / 总时长(分钟),Limited Free / 是否限免,English Themes / 英文题材,Chinese Themes / 中文题材,English Description Preview / 英文简介预览,Chinese Description / 中文简介,Description Truncated / 简介是否截断,Drama Link / 短剧链接,Source Profile URL / 来源主页
aidramalabs_pulse0,Shape of Desire,Shape of Desire,8,ID 7643241607965479952,Dangerous Deal: The Mafia Boss's Contract Doctor,危险交易：黑手党老大的合同医生,2026-06-29 23:39:18,33,350735,2105,35.1,是 / Yes,Contract Lovers、Medical Drama、City,合约爱好者、医疗剧、城市,Dangerous Deal: The Mafia Boss's Contract Doctor,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,9,ID 7640578870303020050,My Stepbrother's Obsession,我继兄弟的痴迷,2026-06-29 23:37:12,32,4336268,1966,32.8,是 / Yes,dark romance、Family Feud、Family & Ethics,黑暗浪漫、家庭恩怨、家庭与道德,He hunts his own kin,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,10,ID 7657141627001213970,"He Faked His Death, I Stole His Empire",他伪造了他的死亡，我偷走了他的帝国,2026-06-30 19:03:03,50,909346,4890,81.5,是 / Yes,Forced Love、Family Feud、dark romance,强迫的爱、家庭恩怨、黑暗浪漫,"From a terrified waitress to a lethal mafia matriarch: she was kidnapped by the devil himself, but he ended up bowing at her feet.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,11,ID 7656911694257820680,Sister Sold Me to Hades,姐姐把我卖给哈迪斯,2026-06-30 04:10:46,50,404972,3196,53.3,是 / Yes,Revenge、Cultivation,复仇、栽培,Sister Sold Me to Hades,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,12,ID 7656972635120948231,"Two Rival CEOs, One Assistant",两名竞争对手首席执行官，一名助理,2026-06-30 08:09:01,30,780679,2164,36.1,是 / Yes,Romantic Complications、Family Feud、Love Triangle,浪漫并发症、家庭恩怨、三角恋,"She signed two contracts with two enemies who used to be brothers. Now they fight over her coffee, her weekend, her lips—and the secret that broke them seven years ago wears her face.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,13,ID 7656958450257204242,Mad Boss: Lift And Twins,疯狂老板：电梯与双胞胎,2026-06-30 07:12:12,50,840876,5154,85.9,是 / Yes,Romantic Complications、Family Feud、Superior and Inferior,浪漫并发症、家庭恩怨、强弱逆袭,"A humble employee defies a ruthless billionaire boss, only to uncover his hidden vulnerability",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,14,ID 7656910100829049874,One Night of Ruin,一夜的毁灭,2026-06-30 04:18:36,45,469460,3058,51.0,是 / Yes,Romantic Complications、City、Superior and Inferior,浪漫并发症、城市、强弱逆袭,One Night of Ruin,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,15,ID 7656911277381571602,Mila Reed: The Luna of Moonstone Keep,米拉·里德：月光石堡的月神,2026-06-30 04:09:04,35,203298,2423,40.4,是 / Yes,Revealed Crush、Romantic Complications、Werewolf,揭露暗恋、浪漫并发症、狼人,Mila Reed: The Luna of Moonstone Keep,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,16,ID 7654265853839528978,The Billionaire's Shield,亿万富翁的盾牌,2026-06-23 01:05:09,30,792958,2337,39.0,是 / Yes,Romantic Complications、City、Superior and Inferior,浪漫并发症、城市、强弱逆袭,The Billionaire's Shield,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,17,ID 7655363810655736839,The Billionaire's Captive Surgeon,亿万富翁的俘虏外科医生,2026-06-26 00:04:02,36,853625,2176,36.3,是 / Yes,Bromance、Forced Love、Family Feud,兄弟情谊、强迫的爱、家庭恩怨,The Billionaire's Captive Surgeon,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,18,ID 7655333357219370002,Dad Sold Me to My Mate,爸爸把我卖给了我的伴侣,2026-06-25 22:06:01,37,1101290,2828,47.1,是 / Yes,dark romance、Forced Love、Werewolf,黑暗浪漫、强迫的爱、狼人,Dad Sold Me to My Mate,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,19,ID 7655363678862136327,The Filler Wife,填充物的妻子,2026-06-26 00:03:41,50,10930225,4103,68.4,是 / Yes,First Love & Substitute、Family Feud、Mistaken Identities,初恋与替身、家庭恩怨、错误的身份,They married her to keep a seat warm for another woman—then learned she was the floor the whole empire stood on.,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,20,ID 7656912029592146951,Forsaken Bloodline,被遗忘的血脉,2026-06-30 04:17:59,40,778640,2407,40.1,是 / Yes,Werewolf、Reconciliation、Romantic Complications,狼人、和解、浪漫并发症,Forsaken Bloodline,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,21,ID 7656910075717964807,The Heiress in a Janitor's Uniform,穿清洁工制服的女继承人,2026-06-30 04:09:48,50,351972,5088,84.8,是 / Yes,Mistaken Identities、Family & Ethics、Family Feud,错误的身份、家庭与道德、家庭恩怨,The Heiress in a Janitor's Uniform,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,22,ID 7645854577127887890,The Disabled Billionaire's Maid Substitute,残疾亿万富翁的女佣替身,2026-06-29 23:38:53,31,355350,1576,26.3,是 / Yes,Family Feud、Contract Lovers、Married Life,家庭恩怨、合约爱好者、婚姻生活,"A mind-reading bride falls for her cruel, disabled husband in a fake marriage.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,23,ID 7656911442720920583,Vows of the Silver Eclipse,银蚀誓言,2026-06-30 04:10:27,36,316255,2442,40.7,是 / Yes,Werewolf、Mistaken Identities、Romantic Complications,狼人、错误的身份、浪漫并发症,Vows of the Silver Eclipse,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,24,ID 7656910482523116552,The Cheer Captain Hated Me..Until She Kissed Me,啦啦队长恨我……直到她吻了我,2026-06-30 04:05:55,30,2080337,2576,42.9,是 / Yes,Enemies to Lovers、Romantic Complications,从敌人到恋人、浪漫并发症,The Cheer Captain Hated Me..Until She Kissed Me,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,25,ID 7656910325203440647,The Wolf King's Regret: My Ex-Wife Is the Winter Queen,狼王的遗憾：我的前妻是凛冬女王,2026-06-30 04:07:14,62,473962,5545,92.4,是 / Yes,Werewolf、Mistaken Identities、Love After Divorce,狼人、错误的身份、离婚后的爱情,The Wolf King's Regret: My Ex-Wife Is the Winter Queen,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,26,ID 7655332934920115207,She Watched Through My Eyes,她通过我的眼睛观察,2026-06-25 22:09:34,30,577800,2601,43.4,是 / Yes,Superior and Inferior、Workplace、Mystery,强弱逆袭、职场、神秘,She Watched Through My Eyes,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,27,ID 7656910949420635144,Reborn to Revenge: Guarded by the Billionaire Alpha,重生复仇：由亿万富翁阿尔法守护,2026-06-30 04:23:12,43,771457,3512,58.5,是 / Yes,Revenge、Family Feud,复仇、家庭恩怨,Reborn to Revenge: Guarded by the Billionaire Alpha,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,28,ID 7656863316177998856,The Duke's Private Wing,公爵的私人翼楼,2026-06-30 01:04:40,30,517179,2640,44.0,是 / Yes,Romantic Complications、Family Feud、Mistaken Identities,浪漫并发症、家庭恩怨、错误的身份,"In a sealed Victorian manor, a governess reads love letters to a blind duke—until she realizes every letter was written to her, and he was never blind at all.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,29,ID 7656911019842737159,Reborn as the Mafia Heir’s Bride,重生为黑手党继承人的新娘,2026-06-30 04:18:57,60,779359,7218,120.3,是 / Yes,Reconciliation、Family Feud、Romantic Complications,和解、家庭恩怨、浪漫并发症,Reborn as the Mafia Heir’s Bride,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,30,ID 7656911546194334738,A Doce Esposa do CEO,Doce Esposa 首席执行官,2026-06-30 04:13:42,66,321464,7632,127.2,是 / Yes,Love After Marriage、Romantic Complications、City,婚后的爱情、浪漫并发症、城市,A Doce Esposa do CEO,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,31,ID 7655348854824571911,Love Lands at Dawn,爱在黎明降临,2026-06-25 23:06:04,40,356737,4651,77.5,是 / Yes,Romantic Complications、Family Feud、Love Triangle,浪漫并发症、家庭恩怨、三角恋,Love Lands at Dawn,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,32,ID 7656911068522026002,The Emperor's Private Bathhouse,皇帝的私人浴室,2026-06-30 04:23:04,30,426260,2596,43.3,是 / Yes,Royal Palace、Reconciliation、Romantic Complications,皇宫、和解、浪漫并发症,"In Rome's deepest bath, a conquered princess serves an emperor who refuses to touch her, until she discovers the mosaic on the wall wears her own face.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,33,ID 7656863313392866312,The Dragon's Forbidden Bride,龙的禁忌新娘,2026-06-30 01:02:56,30,849244,2434,40.6,是 / Yes,Mistaken Identities、Romantic Complications、Cultivation,错误的身份、浪漫并发症、栽培,"She was sent to die for a dragon, but the beast bleeds only when she's cold, and the crown that damned him still beats inside her veins.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,34,ID 7656911468373529618,Forbidden Obsession,禁忌的痴迷,2026-06-30 04:21:36,36,800194,3265,54.4,是 / Yes,Family & Ethics、Contract Lovers、Family Feud,家庭与道德、合约爱好者、家庭恩怨,Forbidden Obsession,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,35,ID 7656910001059025927,I Married A Merman For Rent,我嫁给了一条出租人鱼,2026-06-30 04:04:48,30,322230,2387,39.8,是 / Yes,Romantic Complications、Fantasy、Contract Lovers,浪漫并发症、奇幻、合约爱好者,"A broke single mom rents a merman as her husband for one year — but every Thursday he must return to the sea, and every time he comes back, he wants to leave her less.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,36,ID 7656911991428404232,Thermal Borders,热边界,2026-06-30 04:13:42,60,348953,4778,79.6,是 / Yes,Action,行动,Thermal Borders,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,37,ID 7655333029988389895,The Supreme Commander's Guard,最高统帅卫队,2026-06-25 22:04:33,30,359492,1819,30.3,是 / Yes,Contract Lovers、Revenge、Family Feud,合约爱好者、复仇、家庭恩怨,The Supreme Commander's Guard,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,38,ID 7656911580965360648,Murder in the Winter Castle: A Sinful Stepbrother Romance,冬季城堡谋杀案：罪恶的继兄罗曼史,2026-06-30 04:18:03,50,326184,3330,55.5,是 / Yes,Contract Lovers、Revenge、Grand Mansion,合约爱好者、复仇、正大公馆,Murder in the Winter Castle: A Sinful Stepbrother Romance,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,39,ID 7656972419302970386,The Mob King's Stolen Attic Bride,黑帮之王被盗的阁楼新娘,2026-06-30 08:06:30,50,766216,4199,70.0,是 / Yes,Family Feud、Family & Ethics、Contract Lovers,家庭恩怨、家庭与道德、合约爱好者,"Chosen by a fiercely protective mafia king, a timid outcast overcomes her abusive past to become the deeply loved, untouchable queen of his underworld empire.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,40,ID 7655348350509683730,"Cursed Bond, Royal Omega",被诅咒的债券，皇家欧米茄,2026-06-25 23:04:04,35,822002,2260,37.7,是 / Yes,Werewolf、dark romance、Revenge,狼人、黑暗浪漫、复仇,"Cursed Bond, Royal Omega",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,41,ID 7655379136394941447,The Runaway Oracle,逃跑的神谕者,2026-06-26 01:03:35,36,913013,2351,39.2,是 / Yes,Redemption、Royal Palace、Adventure,赎回、皇宫、冒险,The Runaway Oracle,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,42,ID 7655348887120794631,"Switched at Birth, Back for Revenge",出生时改变，为了复仇而回来,2026-06-25 23:07:51,32,2091313,2621,43.7,是 / Yes,Real/Fake Heir/Heiress、Family Feud、Lost Child,真/假继承人/女继承人、家庭恩怨、丢失的孩子,"Switched at Birth, Back for Revenge",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,43,ID 7655348495326548999,No Mercy for My Brother,对我的兄弟没有怜悯,2026-06-25 23:04:53,45,844503,3516,58.6,是 / Yes,Family Feud、Reconciliation、Revenge,家庭恩怨、和解、复仇,No Mercy for My Brother,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,44,ID 7656911151246087176,The Lethal Queen's Game,致命女王的游戏,2026-06-30 04:11:55,30,189048,1755,29.2,是 / Yes,Family Feud、Revenge、Enemies to Lovers,家庭恩怨、复仇、从敌人到恋人,The Lethal Queen's Game,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,45,ID 7656900433889399826,No.7 After Dark,No.7 天黑后,2026-06-30 03:28:53,36,328942,2620,43.7,是 / Yes,Sports、City、Contract Lovers,运动的、城市、合约爱好者,No.7 After Dark,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,46,ID 7655348488255230983,The Crown Beneath the Maid Uniform,女仆服下的王冠,2026-06-26 02:20:47,36,4553378,2456,40.9,是 / Yes,Revenge、Family Feud、Reconciliation,复仇、家庭恩怨、和解,The Crown Beneath the Maid Uniform,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,47,ID 7656972612983133192,His Forbidden Coach,他的禁忌教练,2026-06-30 08:08:52,50,831826,5330,88.8,是 / Yes,Superior and Inferior、Sports、City,强弱逆袭、运动的、城市,He was the champion they buried in lies. The rookie they warned him about just chose him in front of everyone—and the water remembers who he used to be.,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,48,ID 7654451483257099282,The Queen Who Bought His Empire,买下帝国的女王,2026-06-23 13:03:53,35,1244093,2124,35.4,是 / Yes,Married Life、Family Feud,婚姻生活、家庭恩怨,The Queen Who Bought His Empire,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,49,ID 7656911964844921874,Soul Swap: Trapped in His Arms,灵魂交换：被困在他的怀里,2026-06-30 04:12:30,40,800273,3223,53.7,是 / Yes,Family & Ethics、Family Feud,家庭与道德、家庭恩怨,Soul Swap: Trapped in His Arms,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,50,ID 7645787685583541269,His Brother's Best Friend,他兄弟最好的朋友,2026-06-29 23:41:55,34,1026734,2650,44.2,是 / Yes,Romantic Complications、Rural Area、Friends to Lovers,浪漫并发症、乡村、朋友到恋人,His Brother's Best Friend,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,51,ID 7652951971762213906,Stitched Back from Ashes,从灰烬中缝合回来,2026-06-19 12:04:58,30,12942494,2005,33.4,是 / Yes,Revenge、City、Contract Lovers,复仇、城市、合约爱好者,Stitched Back from Ashes,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,52,ID 7652178501952738311,Seducing My Ex's Celibate Uncle,引诱我前任的独身叔叔,2026-06-17 10:02:39,50,5621606,3805,63.4,是 / Yes,Revenge、Family Feud、Age Gap/Older Boyfriend,复仇、家庭恩怨、年龄差距/年长的男朋友,Seducing My Ex's Celibate Uncle,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,53,ID 7653029301683622920,Bride of the Dead,死者的新娘,2026-06-19 17:05:40,33,859913,2700,45.0,是 / Yes,Family Feud、Family Disputes,家庭恩怨、家庭纠纷,Bride of the Dead,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,54,ID 7653786465352553479,Mafia Heiress,黑手党女继承人,2026-06-21 18:03:19,31,2047713,2244,37.4,是 / Yes,Family Disputes、Family Feud、Contract Lovers,家庭纠纷、家庭恩怨、合约爱好者,"Elena escapes mafia control, fights enemies and gains true love with Dante.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,55,ID 7653384729915741191,The Diva’s Perfect Partner,女主角的完美搭档,2026-06-20 16:04:03,30,406440,2206,36.8,是 / Yes,Werewolf、Mistaken Identities、Romantic Complications,狼人、错误的身份、浪漫并发症,The Diva’s Perfect Partner,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,56,ID 7652132068822127634,My Husband's Mistress's Son is Obsessed with Me,老公情妇的儿子对我着迷,2026-06-17 07:03:17,50,3081774,4165,69.4,是 / Yes,Family & Ethics、Family Feud、Revealed Crush,家庭与道德、家庭恩怨、揭露暗恋,My Husband's Mistress's Son is Obsessed with Me,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,57,ID 7653755513842488327,Error 404: Love Not Found — Until You,错误404：未找到爱——直到你,2026-06-21 16:03:02,40,524811,2638,44.0,是 / Yes,Fantasy、Reconciliation、Mystery,奇幻、和解、神秘,Error 404: Love Not Found — Until You,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,58,ID 7650349005876286482,The Wall Street Hostage,华尔街人质,2026-06-12 11:47:13,30,350368,1790,29.8,是 / Yes,Superior and Inferior、Workplace、Business Competition,强弱逆袭、职场、商业竞赛,The Wall Street Hostage,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,59,ID 7652843390912369671,My Husband Claimed I Was Barren,我丈夫声称我不能生育,2026-06-19 05:04:16,30,380910,1695,28.2,是 / Yes,Mother- & Daughter-in-Law、Family & Ethics、Family Feud,婆婆和儿媳妇、家庭与道德、家庭恩怨,My Husband Claimed I Was Barren,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,60,ID 7653508766000616466,Ice Breaker,破冰活动,2026-06-21 00:05:28,40,825496,2753,45.9,是 / Yes,Romantic Complications、City,浪漫并发症、城市,Ice Breaker,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,61,ID 7654250859005613063,Frost Blooms for Her,霜花为她绽放,2026-06-23 00:05:25,28,1548179,2290,38.2,是 / Yes,Revealed Crush、Romantic Complications、Royal Palace,揭露暗恋、浪漫并发症、皇宫,She cries roses. He breathes winter. One kiss blooms a city and erases one of them forever. Will they dare to fall?,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,62,ID 7653693831652627474,"Five Brothers, One Vow",五兄弟一誓,2026-06-21 12:03:40,37,785685,3035,50.6,是 / Yes,Family Disputes、Family Feud、Love Triangle,家庭纠纷、家庭恩怨、三角恋,"Five Brothers, One Vow",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,63,ID 7654250756618621959,The King's Regret: Rise of the Thorns,国王的遗憾：荆棘崛起,2026-06-23 00:04:57,40,774284,2820,47.0,是 / Yes,Reconciliation、Romantic Complications、Family Feud,和解、浪漫并发症、家庭恩怨,The King's Regret: Rise of the Thorns,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,64,ID 7653493274531009543,"Two Princes, One Crown, One Cinderella",两个王子，一顶王冠，一个灰姑娘,2026-06-20 23:05:25,34,880486,2556,42.6,是 / Yes,Love Triangle、Romantic Complications、Family Feud,三角恋、浪漫并发症、家庭恩怨,"Two Princes, One Crown, One Cinderella",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,65,ID 7653786554829296648,The Man Who Kept Me,留住我的男人,2026-06-21 18:03:29,33,2859383,3582,59.7,是 / Yes,dark romance、Forced Love、Family Feud,黑暗浪漫、强迫的爱、家庭恩怨,The Man Who Kept Me,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
