Account / 账号,Nickname / 昵称,Screenshot Name / 截图名称,Rank in Account / 账号内排序,Drama ID / 短剧ID,English Title / 英文剧名,Chinese Title / 中文剧名,Publish Time / 发布时间,Episodes / 集数,Views / 观看数,Duration Seconds / 总时长(秒),Duration Minutes / 总时长(分钟),Limited Free / 是否限免,English Themes / 英文题材,Chinese Themes / 中文题材,English Description Preview / 英文简介预览,Chinese Description / 中文简介,Description Truncated / 简介是否截断,Source Profile URL / 来源主页
aidramalabs_pulse0,Shape of Desire,Shape of Desire,8,ID 7640578870303020050,My Stepbrother's Obsession,我继兄弟的痴迷,2026-06-29 23:37:12,32,848499,1966,32.8,是 / Yes,Family Feud、Family & Ethics、dark romance,家庭恩怨、家庭与道德、黑暗浪漫,He hunts his own kin,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,9,ID 7656863313392866312,The Dragon's Forbidden Bride,龙的禁忌新娘,2026-06-30 01:02:56,30,333612,2434,40.6,是 / Yes,Cultivation、Mistaken Identities、Romantic Complications,栽培、错误的身份、浪漫并发症,"She was sent to die for a dragon, but the beast bleeds only when she's cold, and the crown that damned him still beats inside her veins.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,10,ID 7645854577127887890,The Disabled Billionaire's Maid Substitute,残疾亿万富翁的女佣替身,2026-06-29 23:38:53,31,328824,1576,26.3,是 / Yes,Married Life、Family Feud、Contract Lovers,婚姻生活、家庭恩怨、合约爱好者,"A mind-reading bride falls for her cruel, disabled husband in a fake marriage.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,11,ID 7655348495326548999,No Mercy for My Brother,对我的兄弟没有怜悯,2026-06-25 23:04:53,45,827943,3516,58.6,是 / Yes,Revenge、Family Feud、Reconciliation,复仇、家庭恩怨、和解,No Mercy for My Brother,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,12,ID 7655333029988389895,The Supreme Commander's Guard,最高统帅卫队,2026-06-25 22:04:33,30,352238,1819,30.3,是 / Yes,Family Feud、Contract Lovers、Revenge,家庭恩怨、合约爱好者、复仇,The Supreme Commander's Guard,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,13,ID 7656910482523116552,The Cheer Captain Hated Me..Until She Kissed Me,啦啦队长恨我……直到她吻了我,2026-06-30 04:05:55,30,174439,2576,42.9,是 / Yes,Enemies to Lovers、Romantic Complications,从敌人到恋人、浪漫并发症,The Cheer Captain Hated Me..Until She Kissed Me,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,14,ID 7656910001059025927,I Married A Merman For Rent,我嫁给了一条出租人鱼,2026-06-30 04:04:48,30,164474,2387,39.8,是 / Yes,Romantic Complications、Fantasy、Contract Lovers,浪漫并发症、奇幻、合约爱好者,"A broke single mom rents a merman as her husband for one year — but every Thursday he must return to the sea, and every time he comes back, he wants to leave her less.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,15,ID 7655348488255230983,The Crown Beneath the Maid Uniform,女仆服下的王冠,2026-06-26 02:20:47,37,3966952,2456,40.9,是 / Yes,Reconciliation、Revenge、Family Feud,和解、复仇、家庭恩怨,The Crown Beneath the Maid Uniform,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,16,ID 7655363810655736839,The Billionaire's Captive Surgeon,亿万富翁的俘虏外科医生,2026-06-26 00:04:02,36,842491,2176,36.3,是 / Yes,Bromance、Forced Love、Family Feud,兄弟情谊、强迫的爱、家庭恩怨,The Billionaire's Captive Surgeon,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,17,ID 7656911442720920583,Vows of the Silver Eclipse,银蚀誓言,2026-06-30 04:10:27,36,120440,2442,40.7,是 / Yes,Mistaken Identities、Romantic Complications、Werewolf,错误的身份、浪漫并发症、狼人,Vows of the Silver Eclipse,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,18,ID 7656910325203440647,The Wolf King's Regret: My Ex-Wife Is the Winter Queen,狼王的遗憾：我的前妻是凛冬女王,2026-06-30 04:07:14,62,190496,5545,92.4,是 / Yes,Love After Divorce、Werewolf、Mistaken Identities,离婚后的爱情、狼人、错误的身份,The Wolf King's Regret: My Ex-Wife Is the Winter Queen,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,19,ID 7656911068522026002,The Emperor's Private Bathhouse,皇帝的私人浴室,2026-06-30 04:23:04,30,361026,2596,43.3,是 / Yes,Royal Palace、Reconciliation、Romantic Complications,皇宫、和解、浪漫并发症,"In Rome's deepest bath, a conquered princess serves an emperor who refuses to touch her, until she discovers the mosaic on the wall wears her own face.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,20,ID 7655348854824571911,Love Lands at Dawn,爱在黎明降临,2026-06-25 23:06:04,40,355486,4651,77.5,是 / Yes,Romantic Complications、Family Feud、Love Triangle,浪漫并发症、家庭恩怨、三角恋,Love Lands at Dawn,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,21,ID 7656972414429139986,From Dead Cop to Mafia Queen,从死亡警察到黑手党女王,2026-06-30 08:07:58,30,222373,2296,38.3,是 / Yes,City、dark romance、Revenge,城市、黑暗浪漫、复仇,From Dead Cop to Mafia Queen,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,22,ID 7643241607965479952,Dangerous Deal: The Mafia Boss's Contract Doctor,危险交易：黑手党老大的合同医生,2026-06-29 23:39:18,33,335817,2105,35.1,是 / Yes,Contract Lovers、Medical Drama、City,合约爱好者、医疗剧、城市,Dangerous Deal: The Mafia Boss's Contract Doctor,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,23,ID 7654265853839528978,The Billionaire's Shield,亿万富翁的盾牌,2026-06-23 01:05:09,30,792396,2337,39.0,是 / Yes,Superior and Inferior、Romantic Complications、City,强弱逆袭、浪漫并发症、城市,The Billionaire's Shield,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,24,ID 7655332934920115207,She Watched Through My Eyes,她通过我的眼睛观察,2026-06-25 22:09:34,30,571197,2601,43.4,是 / Yes,Workplace、Mystery、Superior and Inferior,职场、神秘、强弱逆袭,She Watched Through My Eyes,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,25,ID 7655348350509683730,"Cursed Bond, Royal Omega",被诅咒的债券，皇家欧米茄,2026-06-25 23:04:04,35,818748,2260,37.7,是 / Yes,dark romance、Revenge、Werewolf,黑暗浪漫、复仇、狼人,"Cursed Bond, Royal Omega",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,26,ID 7655333162884813842,I Ate A Meteorite For Her,我为她吃了一块陨石,2026-06-25 22:06:57,25,339960,1646,27.4,是 / Yes,Action、Fantasy、Lost Child,行动、奇幻、丢失的孩子,I Ate A Meteorite For Her,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,27,ID 7656911277381571602,Mila Reed: The Luna of Moonstone Keep,米拉·里德：月光石堡的月神,2026-06-30 04:09:04,35,109182,2423,40.4,是 / Yes,Revealed Crush、Romantic Complications、Werewolf,揭露暗恋、浪漫并发症、狼人,Mila Reed: The Luna of Moonstone Keep,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,28,ID 7656912029592146951,Forsaken Bloodline,被遗忘的血脉,2026-06-30 04:17:59,40,172548,2407,40.1,是 / Yes,Werewolf、Reconciliation、Romantic Complications,狼人、和解、浪漫并发症,Forsaken Bloodline,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,29,ID 7656910075717964807,The Heiress in a Janitor's Uniform,穿清洁工制服的女继承人,2026-06-30 04:09:48,50,191269,5088,84.8,是 / Yes,Family & Ethics、Family Feud、Mistaken Identities,家庭与道德、家庭恩怨、错误的身份,The Heiress in a Janitor's Uniform,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,30,ID 7656958450257204242,Mad Boss: Lift And Twins,疯狂老板：电梯与双胞胎,2026-06-30 07:12:12,50,332348,5154,85.9,是 / Yes,Romantic Complications、Family Feud、Superior and Inferior,浪漫并发症、家庭恩怨、强弱逆袭,"A humble employee defies a ruthless billionaire boss, only to uncover his hidden vulnerability",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,31,ID 7656972419302970386,The Mob King's Stolen Attic Bride,黑帮之王被盗的阁楼新娘,2026-06-30 08:06:30,50,320698,4199,70.0,是 / Yes,Family Feud、Family & Ethics、Contract Lovers,家庭恩怨、家庭与道德、合约爱好者,"Chosen by a fiercely protective mafia king, a timid outcast overcomes her abusive past to become the deeply loved, untouchable queen of his underworld empire.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,32,ID 7656911964844921874,Soul Swap: Trapped in His Arms,灵魂交换：被困在他的怀里,2026-06-30 04:12:30,40,234648,3223,53.7,是 / Yes,Family & Ethics、Family Feud,家庭与道德、家庭恩怨,Soul Swap: Trapped in His Arms,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,33,ID 7655363678862136327,The Filler Wife,填充物的妻子,2026-06-26 00:03:41,50,8300306,4103,68.4,是 / Yes,Mistaken Identities、First Love & Substitute、Family Feud,错误的身份、初恋与替身、家庭恩怨,They married her to keep a seat warm for another woman—then learned she was the floor the whole empire stood on.,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,34,ID 7656911991428404232,Thermal Borders,热边界,2026-06-30 04:13:42,60,208288,4778,79.6,是 / Yes,Action,行动,Thermal Borders,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,35,ID 7656863316177998856,The Duke's Private Wing,公爵的私人翼楼,2026-06-30 01:04:40,30,484845,2640,44.0,是 / Yes,Romantic Complications、Family Feud、Mistaken Identities,浪漫并发症、家庭恩怨、错误的身份,"In a sealed Victorian manor, a governess reads love letters to a blind duke—until she realizes every letter was written to her, and he was never blind at all.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,36,ID 7656911580965360648,Murder in the Winter Castle: A Sinful Stepbrother Romance,冬季城堡谋杀案：罪恶的继兄罗曼史,2026-06-30 04:18:03,50,159851,3330,55.5,是 / Yes,Revenge、Grand Mansion、Contract Lovers,复仇、正大公馆、合约爱好者,Murder in the Winter Castle: A Sinful Stepbrother Romance,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,37,ID 7656911546194334738,A Doce Esposa do CEO,Doce Esposa 首席执行官,2026-06-30 04:13:42,66,184323,7632,127.2,是 / Yes,Romantic Complications、City、Love After Marriage,浪漫并发症、城市、婚后的爱情,A Doce Esposa do CEO,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,38,ID 7654250694714627090,Betrayed at My Bedside: Claimed by the Tyrant Alpha,在我的床边被背叛：被暴君阿尔法认领,2026-06-23 00:07:06,56,14045306,5934,98.9,是 / Yes,Reconciliation、Werewolf、Betrayal,和解、狼人、背叛,Betrayed at My Bedside: Claimed by the Tyrant Alpha,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,39,ID 7655379136394941447,The Runaway Oracle,逃跑的神谕者,2026-06-26 01:03:35,36,876440,2351,39.2,是 / Yes,Redemption、Royal Palace、Adventure,赎回、皇宫、冒险,The Runaway Oracle,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,40,ID 7656911468373529618,Forbidden Obsession,禁忌的痴迷,2026-06-30 04:21:36,36,372056,3265,54.4,是 / Yes,Family & Ethics、Contract Lovers、Family Feud,家庭与道德、合约爱好者、家庭恩怨,Forbidden Obsession,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,41,ID 7656900574033515538,Mist Survival: Secret Heiress,迷雾求生：秘密女继承人,2026-06-30 03:29:23,60,329842,4346,72.4,是 / Yes,Mistaken Identities、Action、Fantasy,错误的身份、行动、奇幻,Mist Survival: Secret Heiress,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,42,ID 7655348887120794631,"Switched at Birth, Back for Revenge",出生时改变，为了复仇而回来,2026-06-25 23:07:51,32,1340195,2621,43.7,是 / Yes,Real/Fake Heir/Heiress、Family Feud、Lost Child,真/假继承人/女继承人、家庭恩怨、丢失的孩子,"Switched at Birth, Back for Revenge",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,43,ID 7655348381271643144,The Prince Who Bloomed in Winter,冬日绽放的王子,2026-06-25 23:04:10,30,820990,2766,46.1,是 / Yes,Redemption、Romantic Complications、Royal Palace,赎回、浪漫并发症、皇宫,She was sold to marry an ice statue prince,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,44,ID 7656910949420635144,Reborn to Revenge: Guarded by the Billionaire Alpha,重生复仇：由亿万富翁阿尔法守护,2026-06-30 04:23:12,43,452007,3512,58.5,是 / Yes,Revenge、Family Feud,复仇、家庭恩怨,Reborn to Revenge: Guarded by the Billionaire Alpha,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,45,ID 7656900433889399826,No.7 After Dark,No.7 天黑后,2026-06-30 03:28:53,36,143154,2620,43.7,是 / Yes,Sports、City、Contract Lovers,运动的、城市、合约爱好者,No.7 After Dark,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,46,ID 7656910100829049874,One Night of Ruin,一夜的毁灭,2026-06-30 04:18:36,45,339280,3058,51.0,是 / Yes,Romantic Complications、City、Superior and Inferior,浪漫并发症、城市、强弱逆袭,One Night of Ruin,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,47,ID 7656911151246087176,The Lethal Queen's Game,致命女王的游戏,2026-06-30 04:11:55,30,106896,1755,29.2,是 / Yes,Family Feud、Revenge、Enemies to Lovers,家庭恩怨、复仇、从敌人到恋人,The Lethal Queen's Game,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,48,ID 7656972635120948231,"Two Rival CEOs, One Assistant",两名竞争对手首席执行官，一名助理,2026-06-30 08:09:01,30,352782,2164,36.1,是 / Yes,Love Triangle、Romantic Complications、Family Feud,三角恋、浪漫并发症、家庭恩怨,"She signed two contracts with two enemies who used to be brothers. Now they fight over her coffee, her weekend, her lips—and the secret that broke them seven years ago wears her face.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,49,ID 7645787685583541269,His Brother's Best Friend,他兄弟最好的朋友,2026-06-29 23:41:55,34,822274,2650,44.2,是 / Yes,Romantic Complications、Rural Area、Friends to Lovers,浪漫并发症、乡村、朋友到恋人,His Brother's Best Friend,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,50,ID 7655363802367677447,The Outcast and Her Hound: No Mercy,流浪者和她的猎犬：无情,2026-06-26 00:05:46,42,2641215,2648,44.1,是 / Yes,Family Feud、Family & Ethics,家庭恩怨、家庭与道德,The Outcast and Her Hound: No Mercy,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,51,ID 7652178501952738311,Seducing My Ex's Celibate Uncle,引诱我前任的独身叔叔,2026-06-17 10:02:39,50,5348578,3805,63.4,是 / Yes,Revenge、Family Feud、Age Gap/Older Boyfriend,复仇、家庭恩怨、年龄差距/年长的男朋友,Seducing My Ex's Celibate Uncle,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,52,ID 7652952502794556434,My Two Demon Suitors Won't Leave Me Alone,我的两个恶魔追求者不会丢下我一个人,2026-06-19 12:07:10,36,0,2028,33.8,是 / Yes,Love Triangle、Fantasy、Romantic Complications,三角恋、奇幻、浪漫并发症,My Two Demon Suitors Won't Leave Me Alone,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,53,ID 7650101426714498055,"After He Cheated, I Took Everything",他出轨后我拿走了一切,2026-06-12 16:29:14,45,136845226,3948,65.8,是 / Yes,Revenge、Family Feud,复仇、家庭恩怨,"After He Cheated, I Took Everything",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,54,ID 7653724713625523207,"Mocked by Everyone, I Made the Billionaire Heir Kneel",被众人嘲笑，我让亿万富翁继承人下跪,2026-06-21 14:08:59,40,3200710,3324,55.4,是 / Yes,Revenge、Mistaken Identities、Family Feud,复仇、错误的身份、家庭恩怨,"Mocked by Everyone, I Made the Billionaire Heir Kneel",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,55,ID 7653461830115300370,"After Loving Him for Six Years, I Married Someone Else",爱他六年后，我嫁给了别人,2026-06-20 21:05:07,40,359876,3441,57.4,是 / Yes,City、Contract Lovers、Revenge,城市、合约爱好者、复仇,"After Loving Him for Six Years, I Married Someone Else",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,56,ID 7651482746317116434,The Dragon's Forbidden Fox,龙之禁狐,2026-06-15 13:05:03,45,818929,2884,48.1,是 / Yes,Reconciliation、Romantic Complications、Cultivation,和解、浪漫并发症、栽培,The Dragon's Forbidden Fox,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,57,ID 7653508848300594184,Don't Tell My Brother,别告诉我兄弟,2026-06-21 00:07:34,36,9438566,3487,58.1,是 / Yes,City、Romantic Complications、dark romance,城市、浪漫并发症、黑暗浪漫,Don't Tell My Brother,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,58,ID 7653725109156549650,Bound by Scent: The Don's Fake Bride,被气味所束缚：唐的假新娘,2026-06-21 14:06:51,40,7773193,3007,50.1,是 / Yes,Mistaken Identities、Forced Love、Family Feud,错误的身份、强迫的爱、家庭恩怨,Bound by Scent: The Don's Fake Bride,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,59,ID 7652255963478856722,Under Her Skin,在她的皮肤下,2026-06-17 15:05:45,51,832426,2908,48.5,是 / Yes,Mistaken Identities、Family Feud、Revenge,错误的身份、家庭恩怨、复仇,An ordinary girl occupies a wealthy lady’s body to avenge and rise.,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,60,ID 7653724830931522567,Broke Peach Barbie,破碎的桃子芭比,2026-06-21 14:03:51,30,805186,2066,34.4,是 / Yes,Romantic Complications、City、Reconciliation,浪漫并发症、城市、和解,Broke Peach Barbie,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,61,ID 7653029376338056199,Serpent King's Secret Heir,蛇王的秘密继承人,2026-06-19 17:05:19,58,3940752,3676,61.3,是 / Yes,Adventure、Fantasy、Mistaken Identities,冒险、奇幻、错误的身份,Serpent King's Secret Heir,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,62,ID 7650349005876286482,The Wall Street Hostage,华尔街人质,2026-06-12 11:47:13,30,350109,1790,29.8,是 / Yes,Superior and Inferior、Workplace、Business Competition,强弱逆袭、职场、商业竞赛,The Wall Street Hostage,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,63,ID 7653384729915741191,The Diva’s Perfect Partner,女主角的完美搭档,2026-06-20 16:04:03,30,402116,2206,36.8,是 / Yes,Werewolf、Mistaken Identities、Romantic Complications,狼人、错误的身份、浪漫并发症,The Diva’s Perfect Partner,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,64,ID 7653477636433351698,The Billionaire Queen's Return,亿万富翁女王归来,2026-06-20 22:06:43,30,1177769,1721,28.7,是 / Yes,Reconciliation、Revenge、Family Feud,和解、复仇、家庭恩怨,The Billionaire Queen's Return,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,65,ID 7653725093046031367,My Two Campus Princes Won't Leave Me Alone,我的两个校园王子不会丢下我一个人,2026-06-21 14:04:56,32,850498,2205,36.8,是 / Yes,Romantic Complications、Childhood Sweethearts,浪漫并发症、青梅竹马,My Two Campus Princes Won't Leave Me Alone,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
