Account / 账号,Nickname / 昵称,Screenshot Name / 截图名称,Rank in Account / 账号内排序,Drama ID / 短剧ID,English Title / 英文剧名,Chinese Title / 中文剧名,Publish Time / 发布时间,Episodes / 集数,Views / 观看数,Duration Seconds / 总时长(秒),Duration Minutes / 总时长(分钟),Limited Free / 是否限免,English Themes / 英文题材,Chinese Themes / 中文题材,English Description Preview / 英文简介预览,Chinese Description / 中文简介,Description Truncated / 简介是否截断,Drama Link / 短剧链接,Source Profile URL / 来源主页
aidramalabs_pulse0,Shape of Desire,Shape of Desire,4,ID 7662263403360293909,My Daughter’s Fiancé Wants My Empire,我女儿的未婚夫想要我的帝国,2026-07-14 14:23:10,50,332908,4056,67.6,是 / Yes,Mistaken Identities、Betrayal、Family Feud,错误的身份、背叛、家庭恩怨,My Daughter’s Fiancé Wants My Empire,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,5,ID 7662272314314101761,"BLACK SWAN, BLOOD CROWN",黑天鹅、血冠,2026-07-14 15:00:40,55,507280,7386,123.1,是 / Yes,Family Feud、Redemption、Revenge,家庭恩怨、赎回、复仇,"BLACK SWAN, BLOOD CROWN",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,6,ID 7661916152561587201,Reborn to Bury the Con Man,重生埋葬骗子,2026-07-13 15:53:38,40,141243,4557,76.0,是 / Yes,Revenge、City,复仇、城市,Reborn to Bury the Con Man,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,7,ID 7662381873242575892,Forbidden Billionaire: The Uncle's Obsession,被禁止的亿万富翁：叔叔的痴迷,2026-07-14 22:00:55,60,327565,5364,89.4,是 / Yes,Betrayal、Family Feud、Age Gap/Older Boyfriend,背叛、家庭恩怨、年龄差距/年长的男朋友,Forbidden Billionaire: The Uncle's Obsession,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,8,ID 7661915777880101904,The Maid Who Taught Him to Win,教他获胜的女仆,2026-07-13 15:54:53,50,316776,4710,78.5,是 / Yes,Superior and Inferior、Family Feud、Romantic Complications,强弱逆袭、家庭恩怨、浪漫并发症,The Maid Who Taught Him to Win,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,9,ID 7662263259801834516,She Came From the Deep,她来自深渊,2026-07-14 14:20:52,65,300768,5061,84.3,是 / Yes,Redemption、Romantic Complications、Fantasy,赎回、浪漫并发症、奇幻,She Came From the Deep,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,10,ID 7662232425208206352,The Wife He Underestimated,他低估的妻子,2026-07-14 12:21:14,50,176475,3446,57.4,是 / Yes,Family Feud、Betrayal、Love Triangle,家庭恩怨、背叛、三角恋,The Wife He Underestimated,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,11,ID 7662398687901045777,Mommy Dearest's Revenge,亲爱的妈妈的复仇,2026-07-14 23:06:07,34,165258,2116,35.3,是 / Yes,Family & Ethics、Family Feud、Mother- & Daughter-in-Law,家庭与道德、家庭恩怨、婆婆和儿媳妇,Mommy Dearest's Revenge,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,12,ID 7662381831518131220,MEMORY LAYERS,内存层,2026-07-14 22:00:54,60,210141,3319,55.3,是 / Yes,Fantasy、Mystery、Lost Child,奇幻、神秘、丢失的孩子,MEMORY LAYERS,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,13,ID 7661916570587141140,The Unseen Queen,看不见的女王,2026-07-13 15:58:30,30,361172,1833,30.6,是 / Yes,Family Feud、Contract Lovers、Family & Ethics,家庭恩怨、合约爱好者、家庭与道德,The Unseen Queen,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,14,ID 7662060365178033172,The Billionaire’s Captive Heiress,亿万富翁的俘虏女继承人,2026-07-14 01:26:26,50,1770185,4479,74.7,是 / Yes,Family Disputes、Reconciliation、Family Feud,家庭纠纷、和解、家庭恩怨,The Billionaire’s Captive Heiress,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,15,ID 7661915825850618897,The Billionaire's Lucky Charm: Spoiled by the Whole Family,亿万富翁的幸运符：被全家人宠坏了,2026-07-13 15:52:22,36,323966,2311,38.5,是 / Yes,City、Lost Child、Family & Ethics,城市、丢失的孩子、家庭与道德,The Billionaire's Lucky Charm: Spoiled by the Whole Family,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,16,ID 7661916580812542997,The CEO's Secret Wife full drama,总裁的秘密妻子 完整剧,2026-07-13 15:55:32,93,418096,9226,153.8,是 / Yes,Mistaken Identities、Married Life、Family Feud,错误的身份、婚姻生活、家庭恩怨,The CEO's Secret Wife full drama,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,17,ID 7661916406371374100,Sweet Predator : Hunted By The Fake Groom,甜蜜掠夺者：被假新郎追捕,2026-07-13 15:54:49,60,316058,4569,76.2,是 / Yes,Love Triangle、Family & Ethics、Family Feud,三角恋、家庭与道德、家庭恩怨,Sweet Predator : Hunted By The Fake Groom,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,18,ID 7662232407856534529,Feral Crown,野性皇冠,2026-07-14 12:21:05,50,168782,3335,55.6,是 / Yes,Werewolf、Love Triangle、Revenge,狼人、三角恋、复仇,Feral Crown,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,19,ID 7662263200633771029,Bound by Secrets: The Billionaire's Ward,被秘密束缚：亿万富翁的病房,2026-07-14 14:20:29,35,331200,2219,37.0,是 / Yes,Mistaken Identities、Married Life、City,错误的身份、婚姻生活、城市,Bound by Secrets: The Billionaire's Ward,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,20,ID 7661916008663520273,Echoes of Her：Trapped in the Devil's Cage,她的回声：被困在恶魔的笼子里,2026-07-13 15:57:31,35,413890,2625,43.8,是 / Yes,Superior and Inferior、Revenge、Family Feud,强弱逆袭、复仇、家庭恩怨,Echoes of Her：Trapped in the Devil's Cage,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,21,ID 7661916551230018580,The Billionaire's Trailer Park Queen,亿万富翁的拖车公园女王,2026-07-13 15:55:10,30,329520,1716,28.6,是 / Yes,Romantic Complications、Family Feud、Contract Lovers,浪漫并发症、家庭恩怨、合约爱好者,The Billionaire's Trailer Park Queen,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,22,ID 7662398829681185809,"Mommy, I'll Fight For You",妈妈，我会为你而战,2026-07-14 23:11:17,70,772296,6147,102.5,是 / Yes,Family & Ethics、Reconciliation、Family Feud,家庭与道德、和解、家庭恩怨,"Mommy, I'll Fight For You",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,23,ID 7661916641932448788,The Roses Buried Mommy,玫瑰埋葬了妈妈,2026-07-13 15:55:44,50,326819,3787,63.1,是 / Yes,Family & Ethics、Lost Child、Family Feud,家庭与道德、丢失的孩子、家庭恩怨,The Roses Buried Mommy,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,24,ID 7662398859309683713,"After I Died, You Finally Cried",我死后你终于哭了,2026-07-14 23:10:24,40,335865,3694,61.6,是 / Yes,Romantic Complications、Family Feud、Reconciliation,浪漫并发症、家庭恩怨、和解,"After I Died, You Finally Cried",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,25,ID 7662398865072919568,Traded to the Devil Who Loved Me First,交易给先爱我的恶魔,2026-07-14 23:11:02,40,770794,3194,53.2,是 / Yes,Forced Love、Family Feud、Contract Lovers,强迫的爱、家庭恩怨、合约爱好者,Traded to the Devil Who Loved Me First,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,26,ID 7662134615808791573,Shy Dove: Mafia Ex Ink,害羞的鸽子：黑手党 Ex Ink,2026-07-14 08:23:12,65,859113,5587,93.1,是 / Yes,City、Reconciliation、Romantic Complications,城市、和解、浪漫并发症,Shy Dove: Mafia Ex Ink,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,27,ID 7662272424855147537,The Widow They Sentenced,他们判刑的寡妇,2026-07-14 14:59:16,80,317460,5819,97.0,是 / Yes,Family Feud、Redemption、Family & Ethics,家庭恩怨、赎回、家庭与道德,They sentenced her for loving someone too young. He answered by choosing her in front of the whole city—and turning their courtroom into a throne.,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,28,ID 7662272299529327632,Reborn to Make My Husband Confess,重生让老公表白,2026-07-14 14:55:48,32,284928,2552,42.5,是 / Yes,Reconciliation、Married Life、Family Feud,和解、婚姻生活、家庭恩怨,Reborn to Make My Husband Confess,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,29,ID 7662232344476128257,MY EXTRA TIME,我的额外时间,2026-07-14 12:23:30,33,347454,2442,40.7,是 / Yes,City、Bromance、Sports,城市、兄弟情谊、运动的,MY EXTRA TIME,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,30,ID 7662232298549318672,Butterfly in the Abyss,深渊中的蝴蝶,2026-07-14 12:23:18,50,318282,3512,58.5,是 / Yes,City、Lost Child、Mystery,城市、丢失的孩子、神秘,Butterfly in the Abyss,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,31,ID 7661915828417434641,Claimed on Ice by My Brother's Enemy,被我兄弟的敌人在冰上占领,2026-07-13 15:57:04,50,452672,5337,89.0,是 / Yes,Romantic Complications、City、Enemies to Lovers,浪漫并发症、城市、从敌人到恋人,Claimed on Ice by My Brother's Enemy,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,32,ID 7661915882184037377,he Fantasy Domain: Ruling the Campus Queens,幻想领域：统治校园女王,2026-07-13 15:52:32,36,140508,2570,42.8,是 / Yes,Revenge,复仇,he Fantasy Domain: Ruling the Campus Queens,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,33,ID 7661940915958748161,He Gave My Engagement Ring to Another Woman,他把我的订婚戒指给了另一个女人,2026-07-13 17:28:46,28,461304,2562,42.7,是 / Yes,Romantic Complications、Childhood Sweethearts、City,浪漫并发症、青梅竹马、城市,He Gave My Engagement Ring to Another Woman,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,34,ID 7662263103874454549,The Broken Princess,破碎的公主,2026-07-14 14:20:08,30,344439,2278,38.0,是 / Yes,Family Disputes、Family Feud、Contract Lovers,家庭纠纷、家庭恩怨、合约爱好者,"Abused Lucia marries mafia Dante, grows strong to rule his family with twin sons",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,35,ID 7662398818738131969,The Billionaire in Rags,衣衫褴褛的亿万富翁,2026-07-14 23:10:32,30,366340,2305,38.4,是 / Yes,City、Contract Lovers、Romantic Complications,城市、合约爱好者、浪漫并发症,"She grabbed the dirtiest homeless man off a Paris street and kissed him to win a bet. The next morning, a helicopter landed on her roof — and the tramp stepped out in a three-piece suit.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,36,ID 7661916507709985813,He Left His Burned Wife,他离开了被烧伤的妻子,2026-07-13 15:57:26,30,332170,2518,42.0,是 / Yes,Family Feud、Mistaken Identities、Married Life,家庭恩怨、错误的身份、婚姻生活,He Left His Burned Wife,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,37,ID 7662263126491075605,The Alpha's Rejected Omega,阿尔法拒绝的欧米伽,2026-07-14 14:20:17,50,315848,4124,68.7,是 / Yes,Revenge、Werewolf,复仇、狼人,A designer betrayed by her fiancé teams up with a tycoon to exact ruthless revenge.,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,38,ID 7661915832963896321,He Chose Her Child,他选择了她的孩子,2026-07-13 15:52:20,30,172908,2703,45.0,是 / Yes,City、Family & Ethics,城市、家庭与道德,He Chose Her Child,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,39,ID 7661916594284581909,Vengeance of the Sea Siren,海妖的复仇,2026-07-13 15:55:28,60,337827,4127,68.8,是 / Yes,Revenge、Cultivation、Lost Child,复仇、栽培、丢失的孩子,Vengeance of the Sea Siren,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,40,ID 7662398672830960641,The Maid Who Became First Lady,成为第一夫人的女仆,2026-07-14 23:08:52,50,336236,4945,82.4,是 / Yes,Family Feud、Superior and Inferior、Romantic Complications,家庭恩怨、强弱逆袭、浪漫并发症,The Maid Who Became First Lady,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,41,ID 7662232298414199809,My Dead Love Built Me a Lover,我死去的爱为我造就了一个情人,2026-07-14 12:23:46,30,226306,1936,32.3,是 / Yes,Fantasy、Romantic Complications、Reconciliation,奇幻、浪漫并发症、和解,My Dead Love Built Me a Lover,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,42,ID 7662272373453919248,Married to the Verdict,嫁给判决,2026-07-14 14:56:33,80,316752,5417,90.3,是 / Yes,Romantic Complications、Family Feud、Age Gap/Older Boyfriend,浪漫并发症、家庭恩怨、年龄差距/年长的男朋友,They sentenced her for loving someone too young. He answered by choosing her in front of the whole city—and turning their courtroom into a throne.,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,43,ID 7662398666866807809,Elite Captain's Blackmailed Slum Pawn,精英船长的勒索贫民窟棋子,2026-07-14 23:10:11,60,322446,5029,83.8,是 / Yes,Contract Lovers、Sports、Family Feud,合约爱好者、运动的、家庭恩怨,Elite Captain's Blackmailed Slum Pawn,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,44,ID 7662398854775755792,"DEAD DOG, LIVE DUKE",死狗，活公爵,2026-07-14 23:07:03,89,278472,8701,145.0,是 / Yes,Family Feud、Redemption、Revenge,家庭恩怨、赎回、复仇,"A cast-out widow saves a dying wolf-dog in the rain—and wakes a duke the whole city buried, sworn to burn down the family that destroyed her.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,45,ID 7661916075789472784,Bite of the Forbidden Professor,禁忌教授之咬,2026-07-13 15:55:08,34,337162,2412,40.2,是 / Yes,Superior and Inferior、Romantic Complications、Vampire,强弱逆袭、浪漫并发症、吸血鬼,Bite of the Forbidden Professor,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,46,ID 7662263122211853333,Blindspot: The Twin's Tra,盲点：双胞胎的特拉,2026-07-14 14:20:07,32,110562,3155,52.6,是 / Yes,Crime、Family Feud,犯罪、家庭恩怨,Blindspot: The Twin's Tra,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,47,ID 7662272456283034641,Midnight Reclaims Her,午夜夺回她,2026-07-14 15:00:38,80,365875,5721,95.3,是 / Yes,Redemption、Fantasy、Palace/Mansion Intrigue,赎回、奇幻、宫殿/豪宅阴谋,"In Versailles, midnight steals everything from a fairy tale girl—but this nameless servant will use the stroke of twelve to take back her name, her blood, her crown, and the man who burned his whole life to keep her alive.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,48,ID 7662272349298955265,Pulse Between Two Worlds: Death Script,两个世界之间的脉动：死亡脚本,2026-07-14 14:58:38,60,140807,4211,70.2,是 / Yes,Redemption、Mystery、Fantasy,赎回、神秘、奇幻,Pulse Between Two Worlds: Death Script,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,49,ID 7661916531596661780,The Forger's Ruin,伪造者的废墟,2026-07-13 15:55:08,30,162100,1741,29.0,是 / Yes,City、Crime、Superior and Inferior,城市、犯罪、强弱逆袭,The Forger's Ruin,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,50,ID 7661916437921190933,Joseph: The Prince in Disguise,约瑟夫：乔装王子,2026-07-13 15:59:33,30,387576,2846,47.4,是 / Yes,Rural Area、Lost Child、Family & Ethics,乡村、丢失的孩子、家庭与道德,Joseph: The Prince in Disguise,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,51,ID 7660501424908358663,The Maid Who Saved Him,救了他的女仆,2026-07-09 20:25:19,50,9346991,4352,72.5,是 / Yes,Medical Drama、Family Feud、Redemption,医疗剧、家庭恩怨、赎回,They spat on the maid who emptied their bedpans—then watched her drag the dying heir back from death with her bare hands. The one they crushed was the only one who could save them all.,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,52,ID 7657992262286119954,My Unborn Baby Exposed My Cheating Husband,我未出生的婴儿揭露了我出轨的丈夫,2026-07-03 02:09:01,50,1712912,3267,54.5,是 / Yes,Married Life、Family Feud、Love Triangle,婚姻生活、家庭恩怨、三角恋,My Unborn Baby Exposed My Cheating Husband,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,53,ID 7656972612983133192,His Forbidden Coach,他的禁忌教练,2026-06-30 08:08:52,49,2660563,5330,88.8,是 / Yes,Sports、City、Superior and Inferior,运动的、城市、强弱逆袭,He was the champion they buried in lies. The rookie they warned him about just chose him in front of everyone—and the water remembers who he used to be.,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,54,ID 7661912640431657985,The Billionaire‘s Second Chance,亿万富翁的第二次机会,2026-07-13 15:39:04,31,535500,2276,37.9,是 / Yes,Contract Lovers、Family & Ethics、Family Feud,合约爱好者、家庭与道德、家庭恩怨,A wronged girl enters a fake marriage and defeats villains with true love.,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,55,ID 7658177343999169543,My Whisper App Pup Is My Iceberg CEO,我的 Whisper 应用程序小狗是我的冰山首席执行官,2026-07-03 14:02:28,40,888664,4289,71.5,是 / Yes,Superior and Inferior、Romantic Complications、City,强弱逆袭、浪漫并发症、城市,My Whisper App Pup Is My Iceberg CEO,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,56,ID 7661912506725602320,He Saw Me First,他先看到我,2026-07-13 15:43:05,30,162496,2607,43.5,是 / Yes,Love Triangle、Family Feud、Romantic Complications,三角恋、家庭恩怨、浪漫并发症,He Saw Me First,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,57,ID 7657992723169022994,"One Touch, One Light",一键一灯,2026-07-03 02:06:01,51,3387832,4591,76.5,是 / Yes,Palace/Mansion Intrigue、Fantasy、Redemption,宫殿/豪宅阴谋、奇幻、赎回,"One touch gives him sight—and steals hers. Two princes, one cursed girl, and a king who drinks her blood. She can save the man she loves, but only by walking into eternal darkness alone.",,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,58,ID 7661915769701356560,Wolf Triplets Avenge Their Mother,狼三胞胎为母亲报仇,2026-07-13 15:52:07,36,316412,2243,37.4,是 / Yes,Family & Ethics、Werewolf、Contract Lovers,家庭与道德、狼人、合约爱好者,Wolf Triplets Avenge Their Mother,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,59,ID 7661912871525995536,Echoes from the Cottage,小屋的回声,2026-07-13 15:40:54,38,317733,3018,50.3,是 / Yes,Romantic Complications、City,浪漫并发症、城市,Echoes from the Cottage,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
