账号,昵称,短剧名,集数,累计观看,单集均观看,主页链接
shortdramatime,ShortDramaTime,Broke Besties' Book Transmigration: Dethroning the Heroine,2,1394,697,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,Sweet Wife Steals My Heart,5,4385,877,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,"Oops, I Caught Feelings",5,3005,601,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,Honeymoon After Marriage,5,2144,429,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,Frozen Vows,5,1950,390,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,You Belong With Me,1,1941,1941,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,MY CROWN I WEAR MYSELF,1,317,317,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,Destined Contractual Love,1,932,932,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,The Playboy's Daily Confession,1,295,295,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,Moonfall into the River,1,276,276,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,The heart he left behind,1,336,336,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,When Clouds Clear Love's Moon Appears,1,163,163,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,Birth Trap on the Plane,1,2639,2639,https://www.tiktok.com/@shortdramatime
shortdramatime,ShortDramaTime,The Caged Bird Strikes,1,366,366,https://www.tiktok.com/@shortdramatime
fz8fjg1,The Long Silence_Trending_B,The Secret of the Perfect Father in Law,10,4574,457,https://www.tiktok.com/@fz8fjg1
fz8fjg1,The Long Silence_Trending_B,I Turned My Lover Into Stone,10,10427,1043,https://www.tiktok.com/@fz8fjg1
fz8fjg1,The Long Silence_Trending_B,The Karma Countdown,20,29876,1494,https://www.tiktok.com/@fz8fjg1
fz8fjg1,The Long Silence_Trending_B,Seven Days in Black Stone,24,1213131,50547,https://www.tiktok.com/@fz8fjg1
fz8fjg1,The Long Silence_Trending_B,Gorgon Blood: A Small Town Apocalypse,23,21516,935,https://www.tiktok.com/@fz8fjg1
fz8fjg1,The Long Silence_Trending_B,Patient Zero,13,7924,610,https://www.tiktok.com/@fz8fjg1
sangaaxdiln,Premium Episode.Drama.J,貪り食う継承者,20,4470,224,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,The Architect Above Code,10,6474,647,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,BORN TO REIGN,10,20195,2020,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,Devil's Ledger,10,334604,33460,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,The Producer's Revenge,10,1991774,199177,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,Detective Vet_ Hear Me Meow,10,79945,7994,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,The Last Bid,10,59460,5946,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,The Last Virgin on Earth,17,1303718,76689,https://www.tiktok.com/@sangaaxdiln
sangaaxdiln,Premium Episode.Drama.J,Natural Disaster. Chosen Hero,3,5323,1774,https://www.tiktok.com/@sangaaxdiln
drama.pro28,The Lore Master,Styx Whiskers: Cats Who Sail the River of Souls,20,91413,4571,https://www.tiktok.com/@drama.pro28
drama.pro28,The Lore Master,Nine Lives Nine Black Belts,20,30667,1533,https://www.tiktok.com/@drama.pro28
drama.pro28,The Lore Master,The Zombie Queen Fell in Love With a Living Man,20,52733,2637,https://www.tiktok.com/@drama.pro28
drama.pro28,The Lore Master,OLYMPUS ZERO: The Gods Are Already Dead,20,212230,10612,https://www.tiktok.com/@drama.pro28
drama.pro28,The Lore Master,I Wake Up With a New Superpower Daily,20,11364,568,https://www.tiktok.com/@drama.pro28
duniadrama43,DuniaDrama,Akhir dari sebuah kesepakatan,1,294,294,https://www.tiktok.com/@duniadrama43
duniadrama43,DuniaDrama,Throne Beneath Power and Lies(More in Drama⬇️),39,9374,240,https://www.tiktok.com/@duniadrama43
duniadrama43,DuniaDrama,Black Gold Rose: The Heir’s Forbidden Song(More in Drama⬇️),39,6233,160,https://www.tiktok.com/@duniadrama43
duniadrama43,DuniaDrama,Soft Cage: She Closed the Door(More in Drama⬇️),8,1502,188,https://www.tiktok.com/@duniadrama43
duniadrama43,DuniaDrama,"Harbour Secrets, Crown Cracks(More in Drama⬇️)",6,919,153,https://www.tiktok.com/@duniadrama43
duniadrama43,DuniaDrama,Cold CEO: Sweet Fake Love(More in Drama⬇️),7,1429,204,https://www.tiktok.com/@duniadrama43
lovebiteshorts,LoveBite Shorts,Shadow Heiress: Hidden Truth(More in Drama⬇️),15,86,6,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Love Beyond Deal(More in Drama⬇️),1,13,13,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Silent Turmoil Eternal Bond(More in Drama⬇️),15,417,28,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Noble Fall Forbidden Warmth(More in Drama⬇️),15,377,25,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Glass Estate Palpitation of Love(More in Drama⬇️),15,310,21,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Rose Reborn Golden Vengeance(More in Drama⬇️),14,263,19,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Billionaire’s Pretense: Real Love(More in Drama⬇️),15,529,35,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Gilded Gambit House of Plots(More in Drama⬇️),7,76,11,https://www.tiktok.com/@lovebiteshorts
lovebiteshorts,LoveBite Shorts,Starlight to Old Years(More in Drama⬇️),3,8,3,https://www.tiktok.com/@lovebiteshorts
dramavault40,物語の空,契約を超える愛（続きはドラマで）,1,52,52,https://www.tiktok.com/@dramavault40
dramavault40,物語の空,Throne Beneath Power and Lies(More in Drama⬇️),39,11991,307,https://www.tiktok.com/@dramavault40
dramavault40,物語の空,Black Gold Rose: The Heir’s Forbidden Song(More in Drama⬇️),39,10600,272,https://www.tiktok.com/@dramavault40
dramavault40,物語の空,Soft Cage: She Closed the Door(More in Drama⬇️),21,6342,302,https://www.tiktok.com/@dramavault40
